Time,ID,Correct,HR,CL
15.0731, 42, 0, 0.00, 0.00
29.7229, 42, 1, 57.50, 0.00
44.0012, 42, 1, 65.50, 0.00
57.9904, 42, 1, 61.71, 0.00
71.9119, 21, 1, 61.07, 0.68
85.9559, 21, 1, 56.21, 0.68
99.7672, 21, 1, 54.71, 0.46
113.5888, 21, 1, 53.22, 0.65
127.8554, 21, 1, 53.34, 0.56
141.8322, 21, 1, 54.00, 0.57
157.7437, 83, 1, 54.62, 0.69
172.0988, 83, 1, 55.64, 0.67
187.0758, 83, 1, 56.93, 0.63
201.3757, 83, 1, 57.00, 0.66
217.2647, 83, 1, 57.00, 0.69
231.4646, 83, 1, 56.04, 0.66
245.6195, 21, 1, 55.11, 0.64
259.6965, 21, 1, 54.18, 0.49
274.5522, 21, 1, 53.33, 0.52
288.5404, 21, 1, 54.04, 0.49
302.8771, 21, 1, 55.34, 0.58
317.1365, 21, 1, 55.00, 0.40
332.7242, 83, 1, 54.06, 0.58
346.7498, 83, 0, 54.00, 0.68
360.9466, 83, 1, 54.93, 0.60
375.3163, 83, 1, 54.66, 0.50
389.9438, 83, 0, 55.97, 0.68
405.0590, 83, 0, 57.00, 0.71
418.9041, 21, 1, 56.25, 0.66
433.2109, 21, 1, 55.00, 0.64
447.3552, 21, 1, 53.72, 0.55
461.9587, 21, 1, 53.00, 0.56
475.9803, 21, 1, 53.18, 0.54
490.7878, 21, 1, 54.00, 0.47
505.1016, 83, 1, 54.00, 0.53
520.3907, 83, 1, 54.45, 0.60
535.5297, 83, 1, 55.33, 0.66
550.5342, 83, 0, 55.33, 0.61
564.6857, 83, 1, 55.00, 0.62
579.5973, 83, 1, 54.27, 0.53
