Time,ID,Correct,HR,CL
16.7017, 42, 1, 0.00, 0.00
31.2820, 42, 1, 79.27, 0.00
45.4125, 42, 1, 81.04, 0.05
59.6307, 42, 1, 81.89, 0.61
73.9313, 21, 1, 82.48, 0.42
88.0822, 21, 1, 82.21, 0.51
101.9679, 21, 1, 82.36, 0.73
116.2820, 21, 1, 83.66, 0.69
129.9487, 21, 1, 82.81, 0.69
143.9669, 21, 1, 81.50, 0.53
158.0723, 83, 1, 81.00, 0.37
172.3264, 83, 1, 81.34, 0.33
186.0082, 83, 1, 81.67, 0.58
200.8850, 83, 1, 83.87, 0.37
215.2076, 83, 1, 84.00, 0.35
229.6974, 83, 1, 83.14, 0.35
243.1216, 21, 1, 82.56, 0.35
256.9888, 21, 1, 81.64, 0.39
270.9643, 21, 1, 80.36, 0.27
285.3346, 21, 1, 78.83, 0.25
299.3122, 21, 1, 78.00, 0.28
312.8187, 21, 1, 78.44, 0.36
326.8231, 83, 1, 79.36, 0.48
340.7442, 83, 1, 80.52, 0.50
354.5531, 83, 1, 82.36, 0.61
368.3447, 83, 1, 82.00, 0.64
382.1846, 83, 1, 82.00, 0.79
397.3876, 83, 1, 82.00, 0.63
411.1550, 21, 1, 81.63, 0.46
424.7230, 21, 1, 80.70, 0.46
438.9658, 21, 1, 78.86, 0.46
452.6555, 21, 1, 77.59, 0.35
466.4751, 21, 1, 76.32, 0.35
480.1097, 21, 1, 76.59, 0.35
494.8098, 83, 1, 77.53, 0.35
508.7510, 83, 1, 79.00, 0.35
522.7769, 83, 1, 81.21, 0.35
536.6557, 83, 1, 82.00, 0.35
550.6883, 83, 1, 82.25, 0.35
564.6335, 83, 1, 82.29, 0.75
