Time,Heart,Cog,EyeY,EyeP,EyeR,HeadY,HeadP,HeadR,FullY,FullP,FullR
0.3113, 0, 0.000,    4.51,    2.29,    0.09,    1.42,    3.75,    0.62,    5.98,    5.98,    1.01
0.3422, 0, 0.000,    9.35,    2.40,    0.20,    1.80,    4.02,    0.29,   11.20,    6.33,    1.14
0.3898, 0, 0.000,    8.12,    2.01,    0.14,    3.30,    4.59,   -0.20,   11.46,    6.58,    0.59
0.4896, 0, 0.000,    5.80,    2.66,    0.13,    4.63,    2.96,    0.32,   10.47,    5.57,    0.75
0.5899, 0, 0.000,  135.00,   35.26,   75.00,    3.87,    3.58,   -0.84,  140.99,   33.27,   78.73
0.6897, 0, 0.000,    1.43,    4.73,    0.06,    4.12,    3.20,   -0.93,    5.48,    7.95,   -0.80
0.7889, 0, 0.000,   -1.92,    6.99,   -0.12,    3.64,    2.99,   -0.70,    1.62,    9.95,   -0.93
0.8893, 0, 0.000,  135.00,   35.26,   75.00,    4.40,    2.81,   -0.14,  140.82,   33.35,   77.50
0.9898, 0, 0.000,    6.78,    5.41,    0.32,    2.92,    2.28,    0.17,    9.74,    7.65,    0.76
1.0892, 0, 0.000,    7.83,    6.15,    0.42,    2.23,    2.35,    0.38,   10.14,    8.43,    1.13
1.1894, 0, 0.000,  135.00,   35.26,   75.00,    4.26,    2.85,   -0.26,  140.75,   33.40,   77.64
1.2893, 0, 0.000,   13.39,   -5.81,   -0.68,    8.30,    3.04,    0.18,   21.62,   -2.90,    0.20
1.3892, 0, 0.000,   12.75,   -8.77,   -0.98,   11.07,    2.50,    0.45,   23.68,   -6.43,    0.01
1.4891, 0, 0.000,  135.00,   35.26,   75.00,   10.77,    2.28,   -0.97,  147.37,   34.31,   77.78
1.5890, 0, 0.000,    6.07,    0.74,    0.04,   10.58,    0.25,   -2.06,   16.62,    1.21,   -1.98
1.6891, 0, 0.000,    6.16,  -11.45,   -0.62,   10.68,    0.48,   -1.39,   17.11,  -10.82,   -1.97
1.7890, 0, 0.000,    7.69,  -11.76,   -0.79,    9.43,    0.09,    0.18,   17.07,  -11.69,   -0.60
1.8892, 0, 0.000,    9.65,   -9.72,   -0.82,    7.26,   -0.62,    2.01,   16.58,  -10.65,    1.08
1.9891, 0, 0.000,   10.91,   -8.18,   -0.78,    7.64,   -1.71,    1.82,   18.34,  -10.20,    0.70
2.0889, 0, 0.000,    0.17,   -3.39,   -0.00,    9.04,   -1.88,    1.15,    9.14,   -5.27,    1.15
2.1889, 0, 0.000,  135.00,   35.26,   75.00,    7.75,   -1.66,    0.73,  141.55,   35.90,   72.91
2.2892, 0, 0.000,  135.00,   35.26,   75.00,    7.27,   -1.96,    1.94,  140.35,   35.23,   71.62
2.3890, 0, 0.000,  135.00,   35.26,   75.00,    7.49,   -1.91,    0.77,  141.14,   36.05,   72.66
2.4891, 0, 0.000,  135.00,   35.26,   75.00,    8.12,   -1.09,    0.51,  142.32,   35.67,   73.61
2.5895, 0, 0.000,    9.74,    4.17,    0.36,    7.90,   -0.40,   -0.24,   17.62,    3.81,    0.05
2.6891, 0, 0.000,    9.16,    4.66,    0.37,    9.18,   -1.57,   -0.62,   18.27,    3.20,   -0.49
2.7896, 0, 0.000,  135.00,   35.26,   75.00,   11.20,   -3.88,   -0.40,  144.32,   38.25,   71.87
2.8898, 0, 0.000,    7.10,    6.85,    0.43,   11.07,   -2.91,    1.36,   18.30,    3.79,    1.42
2.9893, 0, 0.000,  135.00,   35.26,   75.00,    9.65,   -2.15,    2.87,  142.22,   34.68,   70.68
3.0895, 0, 0.000,    7.82,    5.50,    0.38,    9.82,   -3.54,    2.84,   17.87,    1.60,    2.71
3.1896, 0, 0.000,    8.48,    6.61,    0.49,    9.25,   -4.25,    3.66,   18.08,    1.86,    3.48
3.2895, 0, 0.000,    6.16,    7.74,    0.42,    7.47,   -4.21,    3.99,   14.11,    3.12,    3.92
3.3895, 0, 0.000,    6.68,    7.45,    0.44,    7.60,   -3.50,    3.24,   14.64,    3.59,    3.24
3.4894, 0, 0.000,    8.29,    6.64,    0.48,    9.34,   -2.85,    3.13,   17.94,    3.37,    3.17
