Time,ID,Correct,HR,CL
15.1662, 42, 1, 4.41, 0.00
29.8165, 42, 0, 63.60, 0.00
44.1097, 42, 1, 63.00, 0.02
58.4959, 42, 1, 62.00, 0.54
72.9098, 21, 1, 62.00, 0.52
86.6428, 21, 1, 60.89, 0.56
100.4396, 21, 1, 59.18, 0.52
114.5258, 21, 1, 59.04, 0.54
128.2366, 21, 1, 60.00, 0.54
142.0835, 21, 1, 61.56, 0.53
157.1028, 83, 1, 62.93, 0.46
171.7708, 83, 0, 63.47, 0.46
185.9832, 83, 0, 63.14, 0.46
200.7407, 83, 1, 63.00, 0.44
215.7694, 83, 1, 63.00, 0.49
230.6164, 83, 1, 62.21, 0.49
244.6038, 21, 1, 62.00, 0.49
260.4833, 21, 1, 61.59, 0.40
274.8394, 21, 1, 60.93, 0.41
288.9469, 21, 1, 60.00, 0.38
303.4500, 21, 1, 59.00, 0.39
317.4921, 21, 1, 59.61, 0.36
331.8399, 83, 1, 60.90, 0.35
346.7172, 83, 1, 61.00, 0.52
361.5504, 83, 1, 61.50, 0.59
375.6600, 83, 0, 62.46, 0.55
390.3478, 83, 1, 63.00, 0.53
404.9360, 83, 1, 63.00, 0.53
418.8613, 21, 1, 62.64, 0.53
432.9352, 21, 1, 62.71, 0.64
446.7779, 21, 1, 61.21, 0.64
461.0601, 21, 1, 59.86, 0.64
475.3166, 21, 1, 59.34, 0.64
489.5269, 21, 1, 59.79, 0.64
504.1060, 83, 0, 61.34, 0.64
518.2607, 83, 1, 62.31, 0.64
532.1276, 83, 1, 63.59, 0.64
546.1903, 83, 1, 65.36, 0.64
560.9385, 83, 1, 66.93, 0.64
575.6495, 83, 1, 66.76, 0.64
