Time,ID,Correct,HR,CL
16.8932, 42, 1, 0.00, 0.00
30.9456, 42, 1, 66.29, 0.00
44.9600, 42, 1, 76.93, 0.02
59.0815, 42, 1, 0.00, 0.25
73.3035, 21, 1, 25.11, 0.25
87.2706, 21, 1, 22.04, 0.40
101.2137, 21, 1, 24.54, 0.60
114.8685, 21, 1, 52.70, 0.33
128.7911, 21, 1, 64.64, 0.19
143.6910, 21, 1, 90.20, 0.22
158.2348, 83, 1, 67.34, 0.31
172.8902, 83, 1, 64.57, 0.37
187.2563, 83, 1, 83.18, 0.27
201.4674, 83, 1, 46.72, 0.29
216.2117, 83, 1, 50.69, 0.38
230.4106, 83, 1, 25.52, 0.40
244.1660, 21, 1, 0.00, 0.25
258.7550, 21, 1, 11.03, 0.41
273.2535, 21, 1, 24.59, 0.51
287.7643, 21, 1, 32.45, 0.44
301.6761, 21, 1, 36.93, 0.35
315.7645, 21, 1, 68.89, 0.41
329.6972, 83, 1, 82.00, 0.36
343.7752, 83, 1, 59.86, 0.32
355.8406, 83, 1, 25.62, 0.34
369.8629, 83, 1, 62.75, 0.58
383.9375, 83, 1, 69.31, 0.58
398.0920, 83, 1, 6.71, 0.67
412.0034, 21, 1, 53.43, 0.61
426.0060, 21, 1, 52.64, 0.44
440.0058, 21, 1, 0.00, 0.38
454.2241, 21, 1, 34.64, 0.29
468.4690, 21, 1, 18.62, 0.25
482.3712, 21, 1, 31.48, 0.27
496.5488, 83, 0, 20.69, 0.39
510.6340, 83, 1, 32.00, 0.52
524.6918, 83, 1, 72.96, 0.35
538.6814, 83, 1, 78.32, 0.55
552.6447, 83, 1, 74.39, 0.51
568.5328, 83, 1, 47.91, 0.44
