Time,ID,Correct,HR,CL
14.4968, 42, 1, 0.00, 0.00
29.5259, 42, 1, 44.00, 0.00
60.4018, 42, 1, 63.81, 0.30
74.0930, 42, 1, 80.85, 0.51
87.9494, 21, 1, 75.75, 0.38
101.9049, 21, 1, 57.86, 0.28
115.9809, 21, 1, 55.57, 0.29
131.5601, 21, 1, 73.23, 0.27
145.2611, 21, 1, 76.37, 0.41
159.4945, 21, 1, 70.41, 0.32
173.7725, 83, 1, 57.25, 0.32
187.9281, 83, 1, 61.97, 0.62
202.5933, 83, 1, 70.07, 0.46
216.8614, 83, 1, 76.34, 0.43
231.6275, 83, 1, 82.14, 0.37
245.4172, 83, 1, 82.82, 0.66
259.7278, 21, 1, 85.00, 0.41
273.5839, 21, 1, 84.32, 0.59
287.7728, 21, 1, 71.04, 0.39
301.6264, 21, 1, 66.89, 0.44
315.2515, 21, 1, 66.00, 0.35
329.3932, 21, 1, 67.97, 0.59
343.1727, 83, 1, 70.48, 0.40
357.1394, 83, 1, 67.43, 0.59
371.2827, 83, 1, 67.14, 0.52
385.6048, 83, 1, 68.76, 0.59
399.9494, 83, 1, 76.31, 0.50
413.9506, 83, 1, 74.32, 0.51
428.1839, 21, 1, 72.71, 0.56
442.1847, 21, 1, 72.71, 0.49
456.0837, 21, 1, 73.54, 0.63
471.6958, 21, 1, 73.84, 0.64
485.7737, 21, 1, 63.43, 0.41
499.8498, 21, 1, 59.97, 0.46
513.9178, 83, 1, 61.25, 0.61
528.1287, 83, 1, 65.93, 0.47
543.0840, 83, 1, 72.00, 0.56
557.4949, 83, 1, 75.52, 0.53
571.6069, 83, 1, 79.21, 0.38
585.8852, 83, 1, 79.34, 0.57
