Time,ID,Correct,HR,CL
14.8924, 42, 1, 16.38, 0.00
29.4823, 42, 1, 89.14, 0.00
43.8725, 42, 1, 83.97, 0.02
58.8828, 42, 1, 82.27, 0.60
73.1395, 21, 1, 81.29, 0.46
87.6726, 21, 1, 77.03, 0.38
102.2055, 21, 1, 76.34, 0.38
116.2170, 21, 1, 76.86, 0.40
130.2059, 21, 1, 79.57, 0.27
144.4841, 21, 1, 83.38, 0.56
158.9842, 83, 1, 83.03, 0.30
173.5061, 83, 1, 85.28, 0.32
187.4510, 83, 1, 89.04, 0.34
202.6732, 83, 1, 88.43, 0.41
218.4402, 83, 1, 88.03, 0.35
232.3829, 83, 1, 87.57, 0.30
246.4605, 21, 1, 86.00, 0.29
260.3269, 21, 1, 82.36, 0.54
274.7847, 21, 1, 78.57, 0.42
288.9157, 21, 1, 80.17, 0.55
303.5494, 21, 1, 81.00, 0.54
318.0954, 21, 1, 79.31, 0.65
331.9286, 83, 1, 83.75, 0.20
346.3734, 83, 1, 85.55, 0.31
360.4834, 83, 1, 87.36, 0.36
376.0971, 83, 1, 86.71, 0.36
390.4957, 83, 1, 84.55, 0.34
405.1392, 83, 1, 83.10, 0.45
419.6399, 21, 1, 82.07, 0.56
433.6618, 21, 1, 79.93, 0.45
448.6947, 21, 1, 77.10, 0.26
463.0512, 21, 1, 76.55, 0.38
477.5632, 21, 1, 76.59, 0.45
492.0302, 21, 1, 77.00, 0.25
506.8396, 83, 1, 79.07, 0.42
521.2526, 83, 1, 80.79, 0.25
536.3956, 83, 1, 84.94, 0.26
550.8180, 83, 1, 88.52, 0.42
565.5735, 83, 1, 86.90, 0.48
579.8845, 83, 1, 68.90, 0.34
