Time,ID,Correct,HR,CL
17.8616, 42, 0, 7.89, 0.00
38.5494, 42, 1, 70.22, 0.00
59.5386, 42, 1, 71.64, 0.14
75.1936, 42, 1, 72.00, 0.33
90.4928, 21, 1, 71.68, 0.33
105.4586, 21, 1, 71.67, 0.29
119.9254, 21, 1, 72.97, 0.29
135.0131, 21, 1, 73.00, 0.33
149.2586, 21, 1, 73.00, 0.28
164.1028, 21, 1, 73.00, 0.20
179.7463, 83, 0, 73.00, 0.24
196.3229, 83, 1, 72.09, 0.39
210.9784, 83, 1, 71.66, 0.38
224.9342, 83, 1, 72.00, 0.47
239.5775, 83, 1, 72.21, 0.37
254.2227, 83, 1, 72.67, 0.41
268.3888, 21, 1, 73.14, 0.45
282.8550, 21, 1, 73.31, 0.38
297.2213, 21, 1, 73.24, 0.23
311.3816, 21, 1, 73.00, 0.28
326.1431, 21, 1, 72.69, 0.42
340.8201, 21, 1, 72.00, 0.31
355.6421, 83, 1, 72.62, 0.42
374.5417, 83, 1, 72.84, 0.44
389.4491, 83, 1, 71.80, 0.30
404.7678, 83, 1, 71.55, 0.31
422.4409, 83, 1, 72.29, 0.54
438.7176, 83, 1, 71.85, 0.29
453.1774, 21, 1, 71.00, 0.54
468.0061, 21, 1, 72.20, 0.57
481.9286, 21, 1, 73.39, 0.51
496.7574, 21, 1, 74.70, 0.36
511.0941, 21, 1, 75.39, 0.24
525.6937, 21, 1, 74.41, 0.29
541.8563, 83, 1, 73.70, 0.39
556.8706, 83, 0, 71.67, 0.55
571.6786, 83, 1, 70.66, 0.55
586.3254, 83, 1, 71.00, 0.48
601.1112, 83, 1, 71.62, 0.46
618.0911, 83, 0, 72.59, 0.52
