Time,ID,Correct,HR,CL
14.8193, 42, 1, 0.00, 0.00
29.1662, 42, 1, 85.57, 0.00
43.9817, 42, 1, 99.00, 0.01
58.2811, 42, 1, 98.55, 0.20
72.7472, 21, 1, 97.93, 0.23
87.4248, 21, 1, 97.34, 0.25
101.8572, 21, 1, 98.03, 0.33
115.9352, 21, 1, 99.64, 0.27
129.9388, 21, 1, 99.07, 0.35
144.5120, 21, 1, 97.55, 0.33
158.5344, 83, 1, 96.07, 0.44
173.4560, 83, 1, 98.13, 0.41
187.8333, 83, 1, 99.69, 0.44
202.6551, 83, 1, 99.69, 0.31
217.4102, 83, 1, 101.33, 0.37
232.4873, 83, 0, 102.33, 0.25
246.7426, 21, 1, 99.03, 0.41
261.4097, 21, 1, 96.07, 0.46
276.1424, 21, 1, 96.34, 0.26
289.9240, 21, 1, 96.00, 0.28
304.3938, 21, 1, 96.00, 0.29
318.4049, 21, 1, 97.29, 0.30
332.8956, 83, 1, 99.03, 0.31
346.9959, 83, 1, 99.32, 0.34
361.5856, 83, 1, 99.97, 0.55
375.8282, 83, 1, 99.76, 0.38
389.8950, 83, 1, 99.54, 0.36
404.2024, 83, 1, 99.89, 0.49
418.2804, 21, 1, 99.00, 0.51
432.3612, 21, 1, 99.36, 0.54
446.3384, 21, 1, 99.36, 0.30
459.8827, 21, 1, 99.56, 0.36
475.1790, 21, 1, 99.17, 0.38
489.2340, 21, 1, 98.66, 0.56
503.5151, 83, 1, 99.79, 0.38
517.9331, 83, 1, 101.00, 0.35
532.4775, 83, 1, 101.97, 0.33
546.5804, 83, 1, 102.39, 0.48
560.3661, 83, 1, 101.82, 0.38
574.8318, 83, 1, 101.00, 0.36
