Time,ID,Correct,HR,CL
15.5857, 42, 1, 13.33, 0.00
30.0902, 42, 1, 80.34, 0.00
44.5994, 42, 1, 79.76, 0.04
58.8462, 42, 1, 80.38, 0.49
73.9021, 21, 1, 82.40, 0.35
88.4246, 21, 1, 85.52, 0.59
102.8908, 21, 1, 85.62, 0.65
116.9014, 21, 1, 85.18, 0.69
131.5999, 21, 1, 87.76, 0.50
145.7795, 21, 1, 87.79, 0.38
159.7672, 83, 1, 86.37, 0.63
173.7353, 83, 1, 87.79, 0.66
188.5360, 83, 1, 88.67, 0.46
202.8330, 83, 1, 88.00, 0.52
217.1449, 83, 1, 88.86, 0.49
231.2139, 83, 0, 85.71, 0.59
245.3476, 21, 1, 80.07, 0.58
260.1447, 21, 1, 79.69, 0.61
274.9005, 21, 1, 80.47, 0.27
289.2347, 21, 1, 79.00, 0.45
303.4899, 21, 1, 79.00, 0.45
317.9230, 21, 1, 78.00, 0.52
331.9581, 83, 1, 78.43, 0.55
346.3342, 83, 1, 80.17, 0.65
359.9913, 83, 1, 81.96, 0.64
375.4904, 83, 0, 86.19, 0.50
389.5372, 83, 1, 91.11, 0.57
404.0908, 83, 1, 92.03, 0.56
418.2908, 21, 1, 94.62, 0.55
432.1155, 21, 1, 96.74, 0.32
446.7031, 21, 1, 91.86, 0.57
460.4910, 21, 1, 86.82, 0.60
475.1026, 21, 1, 87.07, 0.69
489.2374, 21, 1, 87.29, 0.71
503.6913, 83, 1, 87.66, 0.73
517.7136, 83, 1, 89.57, 0.70
532.1255, 83, 0, 90.00, 0.68
546.4916, 83, 1, 88.90, 0.69
560.7919, 83, 1, 84.97, 0.64
574.6707, 83, 1, 84.37, 0.66
