Time,ID,Correct,HR,CL
22.3989, 42, 1, 18.59, 0.00
37.6325, 42, 1, 58.87, 0.00
52.8242, 42, 1, 61.10, 0.30
67.9018, 42, 1, 55.13, 0.39
82.0910, 21, 1, 54.00, 0.30
97.3542, 21, 1, 53.45, 0.40
111.6693, 21, 1, 53.71, 0.39
126.2862, 21, 1, 54.17, 0.30
140.8975, 21, 1, 55.38, 0.17
155.3399, 21, 1, 53.31, 0.31
169.7070, 83, 1, 54.41, 0.47
183.9062, 83, 1, 55.71, 0.63
198.6062, 83, 1, 54.62, 0.60
213.7627, 83, 1, 57.29, 0.49
228.4509, 83, 1, 56.31, 0.35
243.3067, 83, 0, 54.00, 0.40
257.8868, 21, 1, 54.00, 0.56
272.1279, 21, 1, 53.29, 0.48
286.6394, 21, 1, 52.41, 0.26
301.4614, 21, 1, 52.87, 0.31
316.0181, 21, 1, 54.86, 0.42
330.5940, 21, 1, 57.62, 0.48
346.0314, 83, 1, 59.32, 0.26
360.4751, 83, 1, 55.69, 0.26
375.1542, 83, 1, 56.03, 0.26
389.2512, 83, 1, 55.76, 0.26
404.2634, 83, 1, 56.40, 0.26
419.0172, 83, 1, 47.41, 0.30
433.3520, 21, 1, 57.62, 0.33
447.9078, 21, 1, 57.34, 0.19
462.0870, 21, 1, 57.36, 0.20
476.3715, 21, 1, 57.48, 0.20
490.6853, 21, 1, 55.14, 0.20
505.9413, 21, 1, 57.10, 0.20
521.7383, 83, 1, 57.56, 0.20
535.9828, 83, 1, 55.11, 0.20
550.6289, 83, 1, 55.34, 0.20
565.0957, 83, 1, 55.90, 0.20
580.2076, 83, 0, 58.16, 0.20
595.2862, 83, 1, 61.33, 0.20
